Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Running,2023-02-28 17:09,2023-02-28 17:20,00:10:51,173.42,131.6,184,154.45,0.941,5.2,1461,2.24,,,,,
Traditional Strength Training,2023-02-28 06:56,2023-02-28 07:50,00:53:57,432.84,315.52,151,108.92,,,677,0.209,,,,,
Traditional Strength Training,2023-02-26 10:51,2023-02-26 11:49,00:58:17,521.53,418.1,155,118.49,,,1479,0.423,,,,,
Traditional Strength Training,2023-02-24 08:50,2023-02-24 10:17,01:27:55,605.76,439.67,158,96.23,,,825,0.156,,,,,
Traditional Strength Training,2023-02-23 15:10,2023-02-23 16:12,01:01:47,460.82,336.67,148,96.99,,,871,0.235,,,,,
Traditional Strength Training,2023-02-21 06:41,2023-02-21 07:32,00:50:59,496.72,386.49,162,120.55,,,559,0.183,,,,,
Traditional Strength Training,2023-02-19 12:49,2023-02-19 13:52,01:02:17,430.04,301.9,141,95.62,,,807,0.216,,,,,
Running,2023-02-18 08:33,2023-02-18 09:02,00:29:21,492.57,414.88,182,170.04,3.09,6.31,4333,2.46,,,,99.61,
Traditional Strength Training,2023-02-17 13:14,2023-02-17 14:04,00:49:46,375.34,264.08,160,104.47,,,759,0.254,,,,,
Traditional Strength Training,2023-02-16 14:34,2023-02-16 15:27,00:53:02,375.28,288.57,145,97.02,,,771,0.242,,,,,
Traditional Strength Training,2023-02-14 06:42,2023-02-14 07:37,00:55:13,446.39,329.29,163,109.5,,,740,0.223,,,,,
Cycling,2023-02-12 17:31,2023-02-12 17:41,00:10:01,158.64,119,152,137.76,2.88,17.25,,,,,,,
Running,2023-02-12 13:26,2023-02-12 13:46,00:20:32,316.2,254,168,132.4,1.46,4.27,2622,2.13,,,,,
Traditional Strength Training,2023-02-11 08:00,2023-02-11 09:40,01:39:25,654.72,478.25,140,81.37,,,978,0.164,,,,,
Traditional Strength Training,2023-02-09 06:53,2023-02-09 07:51,00:57:55,412.1,315.3,154,95.88,,,973,0.28,,,,,
Traditional Strength Training,2023-02-07 06:40,2023-02-07 08:02,01:22:32,695.59,533.53,157,111.14,,,1284,0.259,,,,,
Traditional Strength Training,2023-02-06 06:09,2023-02-06 07:24,01:15:05,543.96,416.29,157,103.58,,,1108,0.246,,,,,
Cycling,2023-02-04 17:47,2023-02-04 18:17,00:30:00,435.85,361,172,134.3,8.4,16.8,15,0.008,,,,,
Traditional Strength Training,2023-01-30 06:18,2023-01-30 07:12,00:53:52,434.79,315.74,160,105.47,,,1142,0.353,,,,,
Traditional Strength Training,2023-01-29 11:23,2023-01-29 12:09,00:45:39,375.57,274.02,154,109.59,,,681,0.249,,,,,
Running,2023-01-28 08:17,2023-01-28 08:52,00:34:41,513.71,426.96,190,166.61,3.14,5.43,5102,2.45,,,,16.83,
Traditional Strength Training,2023-01-27 13:18,2023-01-27 14:20,01:02:09,451.81,346.47,158,98,,,741,0.199,,,,,
Running,2023-01-25 06:20,2023-01-25 06:50,00:30:00,512.95,436,170,150.91,2.31,4.62,3664,2.04,,,,,
Traditional Strength Training,2023-01-24 05:40,2023-01-24 06:41,01:00:40,521.87,389.74,158,108.99,,,1311,0.36,,,,,
Traditional Strength Training,2023-01-23 06:17,2023-01-23 07:16,00:58:42,575.27,456.15,165,117.72,,,877,0.249,,,,,
